type,time,latitude,longitude,altitude,speed,pace,course,slope,distance,distance_interval,hr,cadence,temperature,name,desc
T,2013-06-30 15:49:16,43.451808000,-80.516444000,355.6,,,,,0.000,,103,61,25,"30/06/2013 Kitchener, ON, Canada",
T,2013-06-30 15:49:17,43.451809000,-80.516492000,355.6,14.0,4.29,271.6,0.0,0.004,3.89,104,66,25,,
T,2013-06-30 15:49:19,43.451826000,-80.516575000,355.6,12.6,4.78,285.8,0.0,0.011,6.98,107,77,25,,
T,2013-06-30 15:49:20,43.451817000,-80.516610000,355.0,10.8,5.55,250.5,-20.0,0.014,3.00,106,84,25,,
T,2013-06-30 15:49:21,43.451839000,-80.516585000,355.0,11.4,5.25,39.5,0.0,0.017,3.17,106,83,25,,
T,2013-06-30 15:49:22,43.451861000,-80.516539000,355.0,16.0,3.74,56.6,0.0,0.021,4.45,105,77,25,,
T,2013-06-30 15:49:25,43.451972000,-80.516398000,355.0,20.2,2.98,42.7,0.0,0.038,16.80,103,0,25,,
T,2013-06-30 15:49:26,43.452001000,-80.516316000,355.0,26.6,2.26,64.0,0.0,0.046,7.38,102,0,25,,
T,2013-06-30 15:49:31,43.452196000,-80.515983000,355.0,24.9,2.41,51.1,0.0,0.080,34.58,102,55,25,,
T,2013-06-30 15:49:34,43.452222000,-80.516101000,355.0,12.0,5.01,286.9,0.0,0.090,9.98,106,64,25,,
T,2013-06-30 15:49:36,43.452270000,-80.516172000,355.0,14.1,4.25,313.0,0.0,0.098,7.84,109,65,25,,
T,2013-06-30 15:49:37,43.452216000,-80.516247000,355.0,30.7,1.95,225.2,0.0,0.107,8.53,111,65,25,,
T,2013-06-30 15:49:40,43.452183000,-80.516354000,355.0,11.3,5.32,247.0,0.0,0.116,9.40,114,28,25,,
T,2013-06-30 15:49:41,43.452165000,-80.516376000,355.0,9.6,6.22,221.6,0.0,0.119,2.68,115,21,25,,
T,2013-06-30 15:49:43,43.452076000,-80.516422000,355.0,19.0,3.15,200.6,0.0,0.129,10.57,110,45,25,,
T,2013-06-30 15:49:44,43.452044000,-80.516445000,355.0,14.4,4.15,207.6,0.0,0.133,4.01,107,78,25,,
T,2013-06-30 15:49:46,43.452014000,-80.516491000,355.0,9.0,6.67,228.1,0.0,0.138,5.00,105,42,25,,
T,2013-06-30 15:49:50,43.451968000,-80.516617000,355.0,10.3,5.84,243.3,0.0,0.150,11.41,109,59,25,,
T,2013-06-30 15:49:52,43.451901000,-80.516725000,355.0,20.7,2.90,229.5,0.0,0.161,11.48,113,75,25,,
T,2013-06-30 15:49:54,43.451975000,-80.516775000,355.0,16.5,3.64,333.9,0.0,0.170,9.16,117,70,25,,
T,2013-06-30 15:49:56,43.451854000,-80.516928000,355.0,32.9,1.82,222.6,0.0,0.189,18.28,120,78,25,,
T,2013-06-30 15:49:58,43.451938000,-80.516994000,355.0,19.4,3.10,330.3,0.0,0.199,10.75,124,89,25,,
T,2013-06-30 15:50:01,43.452071000,-80.517087000,355.0,19.9,3.02,333.1,0.0,0.216,16.58,127,82,25,,
